No,Brand,Nomor Permohonan,Tahun Permohonan,Status,Kode Kelas,Deskripsi Kelas
11,SONOCO + LOGO S,D002007003427,2007,Didaftar,21,"Kaleng-kaleng komposite, ialah: wadah-wadah seperti kaleng-kaleng makanan atau kaleng kaleng minyak yang terbuat dari bahan-bahan bukan logam"
12,RONDA,D002007003428,2007,Didaftar,14,"bagian-bagian dan benda-benda untuk semua barang-barang yang telah disebutkan, jam dan pesawat pengukur waktu, Logam mulia dan campurannya dan benda-benda yang dibuat dari bahan-bahan itu atau  disepuh dengan bahan-bahan itu, tidak termasuk dalam ===in, perhiasan, batu mulia"
13,SONOCO,D002007003429,2007,Didaftar,21,"Kaleng-kaleng komposite, ialah: wadah-wadah seperti kaleng-kaleng makanan atau kaleng kaleng minyak yang terbuat dari bahan-bahan bukan logam"
14,EP SIM,D002007003434,2007,Didaftar,9,Simulator-simulator elektrofisiologi yang digunakan untuk pendidikan dan pelatihan staf medis
15,PRECISE PRO RX,D002007003435,2007,Didaftar,10,"Peralatan-peralatan medis, yaitu stent dan sistem pengantaran stent"
16,LUNAMOS,D002007003438,2007,Didaftar,1,"Bahan-bahan pengikat besi tuangan/pengecoran logam, tanah diatomea (diatomit), sediaan-sediaan tahan api, sediaan pencetak besi tuang, pasir tuangan, kiselgur (diatomit), sediaan pengeras logam, sediaan pengeras logam, sediaan-sediaan pemoles untuk digunakan dalam pembuatan baja, damar besi tuangan/pengecoran logam, bahan-bahan kimia untuk keperluan industri"
17,PHD + LOGO,D002007003439,2007,Didaftar,30,"cuka, saos-saos (bumbu masak), garam, mostard, Kopi, teh, kakao, gula, bahan pengganti kopi, kulit pai pizza, madu, gula tetes, ragi, bubuk pengembang roti dan kue, rempah-rempah, Roti lapis (sandwich); kopi, teh, kakao, gula, beras, tapioka, sagu, bahan pengganti kopi; tepung dan sediaan yang terbuat dari sereal; roti, biskuit, kue-kue (cakes), kue pastry dan kembang gula; madu, sirop tetes (treacle); ragi, bubuk pengembang kue;garam, moster, lada, cuka, saus, rempah-rempah; es., saos/bumbu pizza, Tepung terigu (untuk makanan); keripik (produk gandum); sup sereal; mi; dumpling (kue bola); sandwiches (roti tipis dilapisi daging, keju, dsb); pizza; hamburger sandwiches; tacos (tortilla gulung diisi dengan potongan daging, ayam, keju, bawang/bumbu dan disajikan selagi panas); roti panggang; pasta (adonan makaroni atau spageti); hot dog sandwiches; gula-gula; kue makarun (kue tar); roti; es krim; kue bapel; coklat; permen; kue-kue; kue kering; kue tar; pai; jagung berondong; puding (puding hidangan penutup); gula; kue beras; saus-saus; ramuan beraroma untuk makanan; teh; kopi; kakao; minuman berbahan dasar teh; cuka; gula-gula dalam bentuk jelly; sirup; muffin; biskuit; kue donat; batangan sereal; minuman yang mengandung cuka."
18,PHD + LOGO,D002007003440,2007,Didaftar,29,"buah-buahan dan sayuran yang diawetkan, dikeringkan dan dimasak, keju, Daging, ikan, unggas dan binatang buruan; sari daging; buah-buahan serta sayursayuran yang diawetkan, dibekukan, dikeringkan dan dimasak; jeli, sele, saus buahbuahan; telur, susu dan produk susu; minyak dan lemak yang dapat dimakan; bahan isian yang berbahan dasar buah untuk donat, kue kering (cookies), kue-kue, dan kue pai; topping buah; topping kacang; lemak (shortenings); sop; selada (salads); krim; krimer (creamer) bukan dari susu; makanan ringan yang berbahan dasar buah; makanan ringan yang berbahan dasar kacang; hummus; krim keju (cream cheese); susu asam (yogurt)., minyak untuk masak, tambahan bahan makanan dan rasa untuk ditaburkan di atas pizza, yaitu potongan daging, keju, buah-buahan dan sayuran, semua barang-barang tersebut termasuk dalam ===, salad, bumbu salad"
19,KIP,D002007003443,2007,Didaftar,7,"instalasi untuk mencuci kendaraan dan instalasi untuk mengeringkan kendaraan, khususnya yang terdiri dari mesin-mesin pencuci kendaraan dan mesin-mesin pengering kendaraan, alat-alat pembersih yang menggunakan uap untuk pencucian kendaraan, mesin penghisap debu, mesin cuci, mesin cuci Iistrik, mesin bubut, kompresor, mesin untuk mengaduk semen, mesin bor, mesin pemotong listrik, gergaji listrik, bor listrik, mesin pemotong listrik, vacuum cleaner, mesin jahit, mesin obras, mesin pelubang kancing, gunting listrik, gergaji Iistrik, blender, mixer, juicer, mesin pemarut buah-buahan dan sayur-sayuran, karburator, kompresor, bor listrik, lift, eskalator, tali kipas, tali motor mesin jahit yang terbuat dari kulit untuk mesin, mesin penyemprot cat, mesin bubut, mesin seterika uap, mesin pelicin, mesin uap, Mesin penyemprot air untuk pencucian kendaraan, mesin-mesin pencuci kendaraan, mesin-mesin pengering kendaraan"
20,KIP,D002007003444,2007,Didaftar,9,"Switch-switch, fiting-fiting, kombinasi fiting, travo, ballast, stepup, stepdown, stecker, sonar, MCB (Miniature Circuit Breaker)/ alat pemutus arus mini, flasher, switch horn, temperature, gauge, oil gauge, fuel tank gauge, pesawat TV, DVD player, EVD player, VCD player, CCTV, portable DVD, LCD TV, LCD monitor, plasma TV, CRT monitor, MP3 player, MPEG4 player, portable media player, flash disk, video recorder, DVD recorder, EVD recorder, car DVD player, car roof mount DVD player, car roof mount monitor, active speaker, speaker, stabilizer, stavol, FM Transmitter, FM receiver, headphone, earphone, FM wireless headphone, wireless CCTV, wireless active speaker, bluetooth headset, bluetooth headphone, bluetooth speaker, gramaphone, pickup, rewinder, amplifier, microphone, megaphone, pesawat komunikasi, telephone, walky talky, handy talky, pesawat telex, pita-pita magnetik, pita cassette, pita video disk recorder, laser disk, piringan hitam, compact disk (audio, video), antena, booster, radar, parabola, accu, baterai, batu baterai, bel listrik, kabel telepon, transformator, mesin faksimili, mesin teleks, printer, pesawat-pesawat ukur, speedometer, ampere meter, meteran listrik, volta meter, modem-modem, monitor (program komputer), cpu, stop kontak, sakelar, seterika listrik, mesin fotocopy, disket, pesawat-pesawat pemadam api, alat solder listrik"
